stockNo,ceiling,floor,refPrice,stockSymbol,stockType,exchange,matchedPrice,matchedVolume,priceChange,priceChangePercent,highest,avgPrice,lowest,nmTotalTradedQty,best1Bid,best1BidVol,best2Bid,best2BidVol,best3Bid,best3BidVol,best4Bid,best4BidVol,best5Bid,best5BidVol,best6Bid,best6BidVol,best7Bid,best7BidVol,best8Bid,best8BidVol,best9Bid,best9BidVol,best10Bid,best10BidVol,best1Offer,best1OfferVol,best2Offer,best2OfferVol,best3Offer,best3OfferVol,best4Offer,best4OfferVol,best5Offer,best5OfferVol,best6Offer,best6OfferVol,best7Offer,best7OfferVol,best8Offer,best8OfferVol,best9Offer,best9OfferVol,best10Offer,best10OfferVol,buyForeignQtty,buyForeignValue,sellForeignQtty,sellForeignValue,caStatus,tradingStatus,remainForeignQtty,currentBidQty,currentOfferQty,session,tradingUnit,__typename,date_time
hose:436,24100,21000,22550,ACB,s,hose,22800,25870,250.00,1.1,23000,22585.73,22300,1887300,22650,100,22600,5000,22550,25800,,,,,,,,,,,,,,,22800,50900,22850,7700,22900,38000,,,,,,,,,,,,,,,0,,0,,,,0,,,C,100,StockRealtime,2022-12-24 07:25:34
hose:217,41150,35850,38500,BID,s,hose,38600,21290,100.00,0.3,39600,39112.12,38450,1432800,38600,100700,38550,1000,38500,33600,,,,,,,,,,,,,,,39000,10000,39300,300,39350,1000,,,,,,,,,,,,,,,614300,,130600,,,,648716234,,,C,100,StockRealtime,2022-12-24 07:25:34
hose:209,51300,44650,48000,BVH,s,hose,48000,4640,0.00,0.0,48300,47966.11,47500,483600,48000,11000,47850,100,47800,400,,,,,,,,,,,,,,,48050,4200,48100,5000,48150,27300,,,,,,,,,,,,,,,99100,,38700,,,,164534467,,,C,100,StockRealtime,2022-12-24 07:25:34
hose:580,29950,26050,28000,CTG,s,hose,27500,57430,-500.00,-1.8,28000,27549.01,27000,3061700,27500,27400,27450,2100,27400,1500,,,,,,,,,,,,,,,27700,4100,27800,35000,27850,200,,,,,,,,,,,,,,,906200,,968800,,,,105927433,,,C,100,StockRealtime,2022-12-24 07:25:34
hose:974,81900,71300,76600,FPT,s,hose,77200,10120,600.00,0.8,77400,76745.01,75700,544100,77100,1200,76700,1000,76600,41600,,,,,,,,,,,,,,,0,23000,71300,400,76500,1900,,,,,,,,,,,,,,,179576,,174136,,,,0,,,C,100,StockRealtime,2022-12-24 07:25:34
hose:1152,112100,97500,104800,GAS,s,hose,103500,3570,-1300.00,-1.2,106000,104608.17,103500,198400,103500,10700,103200,800,103100,2400,,,,,,,,,,,,,,,104000,400,104500,3900,104600,300,,,,,,,,,,,,,,,12000,,63600,,,,881662721,,,C,100,StockRealtime,2022-12-24 07:25:34
hose:233,15300,13300,14300,GVR,s,hose,14200,5720,-100.00,-0.7,14800,14139.68,13500,2086700,14100,1700,14000,26100,13950,3800,,,,,,,,,,,,,,,14200,5300,14250,32000,14300,37600,,,,,,,,,,,,,,,80200,,36200,,,,497853292,,,C,100,StockRealtime,2022-12-24 07:25:34
hose:1386,17800,15500,16650,HDB,s,hose,16800,21090,150.00,0.9,17000,16791.12,16500,2288900,16700,3900,16650,10700,16600,18100,,,,,,,,,,,,,,,16800,112500,16850,24200,16900,20000,,,,,,,,,,,,,,,521793,,6902,,,,0,,,C,100,StockRealtime,2022-12-24 07:25:34
hose:1354,20300,17700,19000,HPG,s,hose,18900,113060,-100.00,-0.5,19450,18869.47,18100,27702200,18850,300,18800,81800,18750,115700,,,,,,,,,,,,,,,18900,300,18950,98900,19000,327000,,,,,,,,,,,,,,,4262200,,1400200,,,,1602483123,,,C,100,StockRealtime,2022-12-24 07:25:34
hose:1734,27600,24000,25800,KDH,s,hose,25100,7960,-700.00,-2.7,26000,25285.77,24750,1299700,25100,1500,25050,41100,25000,3500,,,,,,,,,,,,,,,0,35400,24600,15300,25000,16200,,,,,,,,,,,,,,,265100,,112600,,,,89788650,,,C,100,StockRealtime,2022-12-24 07:25:34
